"id","opportunity","percentile","cutoff","accessibility"
"way/31864695","hospital",50,30,1
"way/31864696","hospital",50,30,1
"way/31864697","hospital",50,30,1
"way/31864698","hospital",50,30,1
"way/31864699","hospital",50,30,1
"way/31864701","hospital",50,30,1
"way/31864702","hospital",50,30,1
"way/31864703","hospital",50,30,1
"way/31870109","hospital",50,30,1
"way/31870111","hospital",50,30,1
"way/32258424","hospital",50,30,2
"way/32573400","hospital",50,30,1
"way/32573407","hospital",50,30,1
"way/32573410","hospital",50,30,1
"way/32573411","hospital",50,30,1
"way/32573417","hospital",50,30,1
"way/32623112","hospital",50,30,2
"way/32623516","hospital",50,30,2
"way/32623611","hospital",50,30,2
"way/32700654","hospital",50,30,4
"way/32822924","hospital",50,30,2
"way/32822926","hospital",50,30,2
"way/32822927","hospital",50,30,2
"way/32822928","hospital",50,30,2
"way/32822930","hospital",50,30,2
"way/32822931","hospital",50,30,2
"way/32822932","hospital",50,30,2
"way/32822933","hospital",50,30,2
"way/32822934","hospital",50,30,2
"way/32822935","hospital",50,30,2
"way/32826152","hospital",50,30,4
"way/32826153","hospital",50,30,4
"way/32826155","hospital",50,30,3
"way/32826156","hospital",50,30,3
"way/32986551","hospital",50,30,0
"way/32986555","hospital",50,30,0
"way/33050540","hospital",50,30,1
"way/33175657","hospital",50,30,0
"way/33175669","hospital",50,30,0
"way/33197748","hospital",50,30,1
"way/33197750","hospital",50,30,1
"way/33197751","hospital",50,30,1
"way/33197754","hospital",50,30,1
"way/33197755","hospital",50,30,1
"way/33197757","hospital",50,30,1
"way/33197758","hospital",50,30,1
"way/33197760","hospital",50,30,1
"way/33202551","hospital",50,30,1
"way/33219501","hospital",50,30,0
"way/33219505","hospital",50,30,0
"way/33219509","hospital",50,30,0
"way/33219515","hospital",50,30,0
"way/33487138","hospital",50,30,3
"way/33708191","hospital",50,30,0
"way/33708192","hospital",50,30,0
"way/33708219","hospital",50,30,1
"way/33708239","hospital",50,30,0
"way/33708242","hospital",50,30,0
"way/33708244","hospital",50,30,0
"way/33708278","hospital",50,30,2
"way/33708291","hospital",50,30,2
"way/33708310","hospital",50,30,0
"way/33708320","hospital",50,30,1
"way/33739723","hospital",50,30,0
"way/33923959","hospital",50,30,0
"way/34038681","hospital",50,30,4
"way/34038683","hospital",50,30,4
"way/34038684","hospital",50,30,4
"way/34038685","hospital",50,30,4
"way/34040001","hospital",50,30,4
"way/34065124","hospital",50,30,0
"way/34083082","hospital",50,30,1
"way/34083753","hospital",50,30,4
"way/34083756","hospital",50,30,3
"way/34083760","hospital",50,30,3
"way/34107773","hospital",50,30,0
"way/34107774","hospital",50,30,0
"way/34107775","hospital",50,30,0
"way/34107776","hospital",50,30,0
"way/34107777","hospital",50,30,0
"way/34114148","hospital",50,30,2
"way/34115910","hospital",50,30,1
"way/34115911","hospital",50,30,1
"way/34115912","hospital",50,30,1
"way/34115914","hospital",50,30,1
"way/34115915","hospital",50,30,1
"way/34115916","hospital",50,30,1
"way/34115917","hospital",50,30,1
"way/34115918","hospital",50,30,1
"way/34115919","hospital",50,30,1
"way/34115920","hospital",50,30,1
"way/34115921","hospital",50,30,1
"way/34119751","hospital",50,30,0
"way/34119752","hospital",50,30,0
"way/34185593","hospital",50,30,2
"way/34212183","hospital",50,30,1
